"Company.Name","Subindustry","Address","Phone","Postcode","Latitude","Longitude","Community.Board","Community.Council","Census.Tract","BIN","BBL","NTA","Rating","Review","Price","Yelp.Category","Hotel.Rating(~100)","Hotel.Price(~100)","Hotel.Review(~100)","Hotel.Count(~100)","Hotel.Rating(~200)","Hotel.Price(~200)","Hotel.Review(~200)","Hotel.Count(~200)","Hotel.Rating(200~400)","Hotel.Price(200~400)","Hotel.Review(200~400)","Hotel.Count(200~400)","Hotel.Rating(400~600)","Hotel.Price(400~600)","Hotel.Review(400~600)","Hotel.Count(400~600)","Hotel.Rating(600~800)","Hotel.Price(600~800)","Hotel.Review(600~800)","Hotel.Count(600~800)","Hotel.Rating(800~)","Hotel.Price(800~)","Hotel.Review(800~)","Hotel.Count(800~)"
"Brasserie Athena","French","300 W 46th St","2123991100",10036,40.759963,-73.988355,4,3,121,1081654,1010360036,"Clinton                                                                    ",2.5,222,2,"french",3.16666666666667,2,34,3,2.64285714285714,1.57142857142857,165.857142857143,7,5.85714285714286,4.57142857142857,491.142857142857,13,9.21428571428571,6.57142857142857,364.142857142857,19,0.785714285714286,0.857142857142857,102,2,0,0,0,0
"The House of Brews","American","302 W 51st St",NA,10019,40.763037,-73.985958,4,3,133,1025175,1010410037,"Clinton                                                                    ",4,387,2,"sportsbars",4,2,162,1,3.33333333333333,2.33333333333333,147.666666666667,3,11.5,9.33333333333333,901.666666666667,12,10.8333333333333,8.33333333333333,854,11,16,10.6666666666667,714.666666666667,14,1.5,1,2.66666666666667,1
"Seasons","American","888 Eighth Ave","2125862257",10019,40.764072,-73.984791,5,3,131,1024825,1010240001,"Midtown-Midtown South                                                      ",4,27,2,"florists",NA,NA,NA,0,3.33333333333333,2.66666666666667,186.333333333333,3,8.16666666666667,6.33333333333333,707.333333333333,8,10.4,8,561.666666666667,10,13.6,9.33333333333333,866.333333333333,14,7.66666666666667,5.33333333333333,299,6
"World of Nuts and Ice Cream","Dessert","888 Eighth Ave","2122450398",10019,40.764072,-73.984791,5,3,131,1024825,1010240001,"Midtown-Midtown South                                                      ",1.5,3,1,NA,NA,NA,NA,0,3.33333333333333,2.66666666666667,186.333333333333,3,8.16666666666667,6.33333333333333,707.333333333333,8,10.4,8,561.666666666667,10,13.6,9.33333333333333,866.333333333333,14,7.66666666666667,5.33333333333333,299,6
"Green Emporium","Deli","791 Eighth Ave","2124591924",10019,40.761133,-73.986958,4,3,127,1025141,1010390029,"Clinton                                                                    ",3,18,2,"delis",4,2,255,1,2.92857142857143,2,142,7,6,4.57142857142857,549,14,8.92857142857143,6.57142857142857,431,19,0.642857142857143,0.428571428571429,1.14285714285714,1,0,0,0,0
"Rosie O'Grady's Saloon","American","800 Seventh Ave","2125822975",10019,40.762441,-73.982294,5,4,131,1024827,1010240029,"Midtown-Midtown South                                                      ",3,366,2,"tradamerican",2.33333333333333,2.66666666666667,447,3,2.91666666666667,2.83333333333333,279.333333333333,6,3.75,2.66666666666667,176.333333333333,7,7.78333333333333,6,503.333333333333,15,5.8,3.33333333333333,309.666666666667,11,1.33333333333333,1,41.6666666666667,2
"810 Deli, Inc","Deli","810 Seventh Ave","2125414136",10019,40.762639,-73.982146,5,4,131,1024828,1010240038,"Midtown-Midtown South                                                      ",3,143,2,"delis",2.33333333333333,2.66666666666667,447,3,2.91666666666667,2.83333333333333,279.333333333333,6,3.75,2.66666666666667,176.333333333333,7,6.7,5.16666666666667,454,13,6.88333333333333,4.16666666666667,359,13,1.33333333333333,1,41.6666666666667,2
"Deli / Caf̩","Deli","810 Seventh Ave","2125414136",10019,40.762639,-73.982146,5,4,131,1024828,1010240038,"Midtown-Midtown South                                                      ",3,143,2,"delis",2.33333333333333,2.66666666666667,447,3,2.91666666666667,2.83333333333333,279.333333333333,6,3.75,2.66666666666667,176.333333333333,7,6.7,5.16666666666667,454,13,6.88333333333333,4.16666666666667,359,13,1.33333333333333,1,41.6666666666667,2
"Ichi Masa Japanese Sushi","Japanese","825 Eighth Ave","2123154800",10019,40.762074,-73.986275,4,3,127,1076203,1010400029,"Clinton                                                                    ",3,99,2,"japanese",NA,NA,NA,0,3.25,2,149.5,6,7.2,6,565.333333333333,14,6.8,4.83333333333333,435.333333333333,14,4.33333333333333,3,160.166666666667,7,0,0,0,0
"Starbucks","Coffee","825 Eighth Ave","2124622020",10019,40.762074,-73.986275,4,3,127,1076203,1010400029,"Clinton                                                                    ",3,42,2,"coffee",NA,NA,NA,0,3.25,2,149.5,6,7.2,6,565.333333333333,14,6.8,4.83333333333333,435.333333333333,14,4.33333333333333,3,160.166666666667,7,0,0,0,0
"Starbucks","Coffee","156 W 52nd St","2125816410",10019,40.762027,-73.981622,5,4,131,1023157,1010040020,"Midtown-Midtown South                                                      ",2.5,20,2,"coffee",2.875,2.75,319.75,4,2.91666666666667,2.83333333333333,279.333333333333,6,4.25,3.16666666666667,185.166666666667,8,8.36666666666667,6,507.166666666667,16,4.71666666666667,2.83333333333333,297,9,1.33333333333333,1,41.6666666666667,2
"The Library @ Paramount Hotel","American","235 W 46th St","2128274183",10036,40.759132,-73.986348,5,3,125,1024737,1010180006,"Midtown-Midtown South                                                      ",3.5,3,3,"lounges",2.6,2,302.5,2,2.96666666666667,2.44444444444444,255.777777777778,9,8.53333333333333,5.66666666666667,412.666666666667,24,2.88888888888889,2.44444444444444,205.111111111111,8,0,0,0,0,0,0,0,0
"46 Bar (Paramount Hotel)","Bar / Lounge","235 W 46th St","2127645500",10036,40.759132,-73.986348,5,3,125,1024737,1010180006,"Midtown-Midtown South                                                      ",2.2,272,2,"hotels",2.6,2,302.5,2,2.96666666666667,2.44444444444444,255.777777777778,9,8.53333333333333,5.66666666666667,412.666666666667,24,2.88888888888889,2.44444444444444,205.111111111111,8,0,0,0,0,0,0,0,0
"Victor's Cafe","Deli","236 W 52nd St","2125867714",10019,40.762968,-73.983853,5,3,131,1080858,1010230051,"Midtown-Midtown South                                                      ",4,1173,3,"cuban",3,3,198.5,2,2.83333333333333,2.5,297.333333333333,6,5,3.66666666666667,256.333333333333,9,6.36666666666667,4.83333333333333,365.333333333333,12,6.05,3.83333333333333,349.666666666667,12,1.33333333333333,1,41.6666666666667,2
"Auntie Anne's","Fast Food","664 Eighth Ave","2127641542",10036,40.757436,-73.989633,5,3,119,1087142,1010140001,"Midtown-Midtown South                                                      ",3,28,1,"pretzels",NA,NA,NA,0,2.36,1.6,264.2,5,3.94,2.8,226.4,6,14.8,10.4,690.2,22,3.2,2.4,201.6,5,1.6,1.8,190,3
"B.B. King Blues Club & Grill","American","237 W 42nd St","2129974144",10036,40.756785,-73.988702,5,3,119,1087142,1010140001,"Midtown-Midtown South                                                      ",3,619,2,"tradamerican",3,2.33333333333333,263,3,3.375,2.5,199.25,4,5,3.5,497,7,18,12.5,779.75,22,3.125,2.25,211.75,4,2.875,3,277.75,4
"Cold Stone Creamery/ Tim Horton's","Dessert","243 W 42nd St","2123981882",10036,40.756821,-73.988789,5,3,119,1087142,1010140001,"Midtown-Midtown South                                                      ",3,156,2,"icecream",3,2.33333333333333,263,3,3.375,2.5,199.25,4,5.625,3.75,510,8,17.375,12.25,766.75,21,3.125,2.25,211.75,4,2.875,3,277.75,4
"Dallas BBQ","Barbecue","27 West 72nd Street","2128732004",10023,40.776988,-73.977766,7,6,157,1087511,1011257502,"Lincoln Square                                                             ",3,162,2,"bbq",NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,Inf,Inf,Inf,41
"Starbucks","Coffee","251 W 42nd St","2123981982",10036,40.756867,-73.988901,5,3,119,1087142,1010140001,"Midtown-Midtown South                                                      ",2.5,31,2,"coffee",3,2.33333333333333,263,3,3.375,2.5,199.25,4,6.375,4.25,517,9,16.625,11.75,759.75,20,3.125,2.25,211.75,4,2.875,3,277.75,4
"Pongsri Thai Restaurant","Thai","244 W 48th St","2125823392",10036,40.76052,-73.985817,5,3,125,1024765,1010190059,"Midtown-Midtown South                                                      ",3.5,430,2,"thai",3,2.2,193.2,5,3.01538461538462,2.30769230769231,190.153846153846,13,3.94615384615385,2.92307692307692,311.076923076923,17,3,2.07692307692308,103.538461538462,11,0,0,0,0,0,0,0,0
"Smokehouse","Italian","249 W 48th St",NA,10036,40.76057,-73.98589,5,3,125,NA,NA,"Midtown-Midtown South                                                      ",NA,NA,NA,NA,3,2,173.25,4,3.01538461538462,2.30769230769231,190.153846153846,13,3.79230769230769,2.84615384615385,302.307692307692,16,3.15384615384615,2.15384615384615,112.307692307692,12,0,0,0,0,0,0,0,0
"Lucky Star Cafe","American","250 W 43rd St","2018389269",10036,40.757309,-73.987901,5,3,119,1085096,1010140055,"Midtown-Midtown South                                                      ",3.5,51,1,"sandwiches",3,2.33333333333333,263,3,2.71666666666667,1.83333333333333,221.5,6,11.7833333333333,8.16666666666667,618.833333333333,21,3.5,2.66666666666667,163.666666666667,7,3.58333333333333,3.16666666666667,306.333333333333,7,0,0,0,0
"Shula's Steakhouse","Steakhouse","250 W 43rd St","2122012776",10036,40.757309,-73.987901,5,3,119,1085096,1010140055,"Midtown-Midtown South                                                      ",3.5,142,3,"steak",3,2.33333333333333,263,3,2.71666666666667,1.83333333333333,221.5,6,11.7833333333333,8.16666666666667,618.833333333333,21,3.5,2.66666666666667,163.666666666667,7,3.58333333333333,3.16666666666667,306.333333333333,7,0,0,0,0
"Scarlatto","Italian","250 W 47th St","2127304535",10036,40.759892,-73.986276,5,3,125,1024744,1010180054,"Midtown-Midtown South                                                      ",3.5,359,2,"italian",2.56666666666667,2,231,3,3.09230769230769,2.38461538461538,238.615384615385,13,4.48461538461538,3.07692307692308,245.846153846154,19,2.38461538461538,1.84615384615385,120.307692307692,9,0,0,0,0,0,0,0,0
"Toloache","Mexican","251 W 50th St","2125811818",10019,40.761851,-73.985041,5,3,131,1024814,1010220101,"Midtown-Midtown South                                                      ",4,1547,3,"mexican",3,2,130.666666666667,3,3.16666666666667,2.33333333333333,174.111111111111,9,4.46666666666667,3.66666666666667,316.888888888889,13,4.53333333333333,3.11111111111111,321.444444444444,14,2.22222222222222,1.44444444444444,61.1111111111111,5,0,0,0,0
"Bluechili","Pan Asian","251 W 51st St","2122463330",10019,40.762477,-73.984586,5,3,131,1024815,1010230005,"Midtown-Midtown South                                                      ",3,44,2,"thai",3,2.5,140.5,2,3,2.28571428571429,202.714285714286,7,5.35714285714286,4.42857142857143,374.142857142857,12,5.14285714285714,3.57142857142857,329.142857142857,12,4.35714285714286,2.85714285714286,216,9,0.642857142857143,0.428571428571429,1.14285714285714,1
"Pergola des Artistes","French","252 W 46th St","2123027500",10036,40.759261,-73.986695,5,3,119,1024729,1010170057,"Midtown-Midtown South                                                      ",4,1,2,"french",2.6,2,302.5,2,2.95,2.3,283.4,10,7.4,5,318.2,23,2.6,2.2,184.6,8,0,0,0,0,0,0,0,0
"Trattoria Trecolori","Italian","254 W 47th St","2129974540",10036,40.759919,-73.986348,5,3,125,1024746,1010180056,"Midtown-Midtown South                                                      ",4,1704,2,"italian",2.56666666666667,2,231,3,3.09230769230769,2.38461538461538,238.615384615385,13,4.21538461538462,2.84615384615385,233.461538461538,18,2.65384615384615,2.07692307692308,132.692307692308,10,0,0,0,0,0,0,0,0
"Russian Samovar Restaurant","Russian","256 W 52nd St","2127570168",10019,40.763111,-73.984192,5,3,131,1024821,1010230059,"Midtown-Midtown South                                                      ",4,329,2,"russian",3,3,198.5,2,2.83333333333333,2.5,297.333333333333,6,4.5,3.33333333333333,200.833333333333,8,6.86666666666667,5.16666666666667,420.833333333333,13,6.05,3.83333333333333,349.666666666667,12,1.33333333333333,1,41.6666666666667,2
"John's Pizzeria","Pizza","260 W 44th St","2123917560",10036,40.758124,-73.987897,5,3,119,1024710,1010150059,"Midtown-Midtown South                                                      ",3.5,1701,2,"pizza",2.76666666666667,1.66666666666667,359.666666666667,3,2.33333333333333,1.66666666666667,265.5,6,13.9166666666667,9.66666666666667,675.333333333333,24,2.41666666666667,1.66666666666667,90.1666666666667,5,2.91666666666667,2.83333333333333,279.333333333333,6,0,0,0,0
"Just Pies Inc","Dessert","260 W 44th St","2127217001",10036,40.758124,-73.987897,5,3,119,1024710,1010150059,"Midtown-Midtown South                                                      ",NA,NA,NA,NA,2.76666666666667,1.66666666666667,359.666666666667,3,2.33333333333333,1.66666666666667,265.5,6,13.9166666666667,9.66666666666667,675.333333333333,24,2.41666666666667,1.66666666666667,90.1666666666667,5,2.91666666666667,2.83333333333333,279.333333333333,6,0,0,0,0
"Sunrise Deli","Deli","1441 Broadway","2122216490",10018,40.754707,-73.986753,5,3,113,1022569,1009930055,"Midtown-Midtown South                                                      ",3,6,2,"delis",NA,NA,NA,0,4.5,3,8,1,37,25,1808,11,38.5,29,3098,13,28,19,1110,9,21.5,19,1838,7
"Restaurant Charlotte @ Millennium Broadway Hotel","American","145 W 44th St","2127897508",10036,40.756667,-73.984396,5,4,119,1085016,1009970010,"Midtown-Midtown South                                                      ",3,13,2,"newamerican",3.57142857142857,2.28571428571429,136.428571428571,7,3.54166666666667,2.33333333333333,175.416666666667,12,2.89166666666667,2.33333333333333,189.75,11,2.9,1.91666666666667,144.916666666667,12,1.45833333333333,1.33333333333333,145.083333333333,6,0,0,0,0
"O'Lunney's Times Square Pub","American","145 W 45th St","2128406688",10036,40.757336,-73.984017,5,4,119,1022634,1009980012,"Midtown-Midtown South                                                      ",4,308,2,"irish",3.45,2.3,129,10,3.4,2.4,160.933333333333,15,2.11333333333333,1.66666666666667,155.266666666667,10,2.28666666666667,1.53333333333333,128.2,12,0.833333333333333,0.733333333333333,79.7333333333333,4,0,0,0,0
"Vacant (Juan Valdez Coffee)","Coffee","1451 Broadway","2128717515",10036,40.755152,-73.986613,5,3,113,1086069,1009940001,"Midtown-Midtown South                                                      ",3.5,32,1,"coffee",NA,NA,NA,0,4.5,2.5,36.5,2,18,13,1246.5,11,21,16,1241,15,12.5,8,536.5,7,8.75,8,870.5,6
"Abondanza","Deli","146 W 46th St","2129381333",10036,40.757948,-73.983598,5,4,119,1022650,1009980054,"Midtown-Midtown South                                                      ",3.5,17,1,"delis",3.25,2.25,88.25,8,3.375,2.5,182.1875,16,1.48125,1,88.5625,8,3.2375,2.4375,220.625,17,0,0,0,0,0,0,0,0
"Dervish Turkish Restaurant","Turkish","146 W 47th St","2129970070",10036,40.758579,-73.98315,5,4,125,1022670,1009990053,"Midtown-Midtown South                                                      ",3.5,129,2,"turkish",3.2,2.4,79.6,5,3.34615384615385,2.46153846153846,179.461538461538,13,3.36153846153846,2.53846153846154,203.615384615385,14,3.25384615384615,2.30769230769231,221.692307692308,14,0,0,0,0,0,0,0,0
"Godiva Chocolatier, Inc.","Dessert","1460 Broadway","2128406758",10036,40.754998,-73.986284,5,4,113,1022573,1009947504,"Midtown-Midtown South                                                      ",4,24,2,"chocolate",NA,NA,NA,0,4.5,2.5,36.5,2,18,13,1246.5,11,18.25,14,1183,13,15.25,10,594.5,9,8.75,8,870.5,6
"Ranch 1","Fast Food","141 W 41st St",NA,10036,40.754756,-73.985956,5,4,113,1022574,1009940016,"Midtown-Midtown South                                                      ",3,11,1,"hotdogs",NA,NA,NA,0,4.5,2.5,36.5,2,18,13,1246.5,11,17.5,13,1174,12,14,9.5,555,9,10.75,9.5,919,7
"Scotts Food Court","American","141 W 41st St","2127681111",10036,40.754756,-73.985956,5,4,113,1022574,1009940016,"Midtown-Midtown South                                                      ",2,6,1,"delis",NA,NA,NA,0,4.5,2.5,36.5,2,18,13,1246.5,11,17.5,13,1174,12,14,9.5,555,9,10.75,9.5,919,7
"Tony's Di Napoli","Italian","147 W 43rd Str","2122210100",10036,40.756022,-73.984808,5,4,119,1022611,1009960009,"Midtown-Midtown South                                                      ",4,1616,2,"italian",3.75,2.5,161.75,4,3.5,2.25,127.375,8,5.775,4.5,378.75,14,3.2875,2.25,224.875,10,3.625,2.875,251.75,9,0,0,0,0
"Bombay Masala Indian Restaurant","Indian","148 W 49th St","2123028150",10019,40.759847,-73.982294,5,4,125,1022698,1010010157,"Midtown-Midtown South                                                      ",2.5,102,2,"indpak",NA,NA,NA,0,3.25,2.75,75.5,4,18.675,14.75,1358.5,24,8.45,4.75,469,10,2,1.5,62.5,3,0,0,0,0
"Vacant (former Caf̩ Groppi)","Deli","148 W 49th St","2122210082",10019,40.759847,-73.982294,5,4,125,1022698,1010010157,"Midtown-Midtown South                                                      ",NA,NA,NA,NA,NA,NA,NA,0,3.25,2.75,75.5,4,18.675,14.75,1358.5,24,8.45,4.75,469,10,2,1.5,62.5,3,0,0,0,0
"Ruth's Chris Steak House","Steakhouse","148 W 51st St","2122459600",10020,40.761357,-73.981969,5,4,131,1022710,1010037501,"Midtown-Midtown South                                                      ",4,740,3,"steak",3,2.5,282.5,2,2.8,2.8,303,5,8.2,6.4,456.8,13,9.74,6.8,522.6,15,4.26,2.4,288.4,7,0.9,0.6,1.6,1
"Rosie O'Grady's Steakhouse","Steakhouse","149 W 46th St","2128690600",10036,40.757981,-73.983627,5,4,125,1022664,1009990011,"Midtown-Midtown South                                                      ",2.5,20,2,"pubs",3.25,2.25,88.25,8,3.375,2.5,182.1875,16,1.7,1.1875,115.625,9,3.01875,2.25,193.5625,16,0,0,0,0,0,0,0,0
"Le Marais","French","150 W 46th St","2128690900",10036,40.757984,-73.983677,5,4,119,1022651,1009980055,"Midtown-Midtown South                                                      ",3,228,3,"french",3.25,2.25,88.25,8,3.375,2.5,182.1875,16,1.7,1.1875,115.625,9,3.01875,2.25,193.5625,16,0,0,0,0,0,0,0,0
"Langan's Bar & Restaurant","American","150 W 47th St","2128695482",10036,40.758612,-73.983233,5,4,125,1022671,1009990054,"Midtown-Midtown South                                                      ",3.5,191,2,"bars",3.2,2.4,79.6,5,3.34615384615385,2.46153846153846,179.461538461538,13,3.36153846153846,2.53846153846154,203.615384615385,14,3.25384615384615,2.30769230769231,221.692307692308,14,0,0,0,0,0,0,0,0
"Y & H Grocery","Deli","150 W 47th St","2128401659",10036,40.758612,-73.983233,5,4,125,1022671,1009990054,"Midtown-Midtown South                                                      ",NA,NA,NA,NA,3.2,2.4,79.6,5,3.34615384615385,2.46153846153846,179.461538461538,13,3.36153846153846,2.53846153846154,203.615384615385,14,3.25384615384615,2.30769230769231,221.692307692308,14,0,0,0,0,0,0,0,0
"Bella Napoli","Italian","150 W 49th St","2127192819",10019,40.759867,-73.982334,5,4,125,1022695,1010010058,"Midtown-Midtown South                                                      ",3,76,1,"pizza",NA,NA,NA,0,3.25,2.75,75.5,4,17.675,14,1353,23,9.45,5.5,474.5,12,2,1.5,62.5,2,0,0,0,0
"Osteria Al Doge","Italian","142 W 44th St","2129443643",10036,40.756634,-73.984367,5,4,119,1022620,1009960051,"Midtown-Midtown South                                                      ",4,377,3,"italian",3.57142857142857,2.28571428571429,136.428571428571,7,3.54545454545455,2.27272727272727,123.181818181818,11,3.47272727272727,2.81818181818182,275.181818181818,12,3.16363636363636,2.09090909090909,158.090909090909,12,1.59090909090909,1.45454545454545,158.272727272727,6,0,0,0,0
"St. Andrews Restaurant and Bar","Bar / Lounge","142 W 46th St","2128408413",10036,40.757915,-73.983519,5,4,119,1022659,1009980152,"Midtown-Midtown South                                                      ",3.5,397,2,"pubs",3.25,2.25,88.25,8,3.36666666666667,2.46666666666667,166.133333333333,15,1.81333333333333,1.26666666666667,122.666666666667,9,3.45333333333333,2.6,235.333333333333,17,0,0,0,0,0,0,0,0
"Pasta Lovers Trattoria","Italian","142 W 49th St","2128191155",10019,40.759798,-73.982172,5,4,125,1022694,1010010055,"Midtown-Midtown South                                                      ",3.5,218,2,"italian",NA,NA,NA,0,3.25,2.75,75.5,4,18.675,14.75,1358.5,24,7.2,4.25,455,9,3.25,2,76.5,4,0,0,0,0
"John's Shanghai","Chinese","144 W 46th St","2128699183",10036,40.757932,-73.983558,5,4,119,1022649,1009980053,"Midtown-Midtown South                                                      ",NA,NA,NA,NA,3.25,2.25,88.25,8,3.375,2.5,182.1875,16,1.48125,1,88.5625,8,3.2375,2.4375,220.625,17,0,0,0,0,0,0,0,0
"Starbucks","Coffee","1460 Broadway","2122217515",10036,40.754998,-73.986284,5,4,113,1022573,1009947504,"Midtown-Midtown South                                                      ",2.5,78,2,"coffee",NA,NA,NA,0,4.5,2.5,36.5,2,18,13,1246.5,11,18.25,14,1183,13,15.25,10,594.5,9,8.75,8,870.5,6
"Virgils Real Barbecue","Barbecue","152 W 44th St","2129219494",10036,40.756716,-73.984558,5,4,119,1022621,1009960054,"Midtown-Midtown South                                                      ",3.5,1311,2,"bbq",3.57142857142857,2.28571428571429,136.428571428571,7,3.54166666666667,2.33333333333333,175.416666666667,12,2.89166666666667,2.33333333333333,189.75,11,2.9,1.91666666666667,144.916666666667,12,1.45833333333333,1.33333333333333,145.083333333333,6,0,0,0,0
"Iroha","Japanese","152 W 49th St","2123989049",10019,40.759883,-73.982374,5,4,125,1022696,1010010059,"Midtown-Midtown South                                                      ",3.5,323,2,"japanese",NA,NA,NA,0,3.25,2.75,75.5,4,17.675,14,1353,23,9.45,5.5,474.5,12,2,1.5,62.5,2,0,0,0,0
"Sapporo","Japanese","152 W 49th St","2128698972",10019,40.759883,-73.982374,5,4,125,1022696,1010010059,"Midtown-Midtown South                                                      ",3.5,11,2,"ramen",NA,NA,NA,0,3.25,2.75,75.5,4,17.675,14,1353,23,9.45,5.5,474.5,12,2,1.5,62.5,2,0,0,0,0
"Europa Cafe","Deli","152 W 51st St","2125810152",10019,40.761439,-73.982168,5,4,131,1022710,1010037501,"Midtown-Midtown South                                                      ",3,59,1,"sandwiches",3,2.5,282.5,2,2.8,2.8,303,5,8.2,6.4,456.8,13,9.74,6.8,522.6,15,4.26,2.4,288.4,7,0.9,0.6,1.6,1
"Bar Americain","American","152 W 52nd St","2122659700",10019,40.762005,-73.981568,5,4,131,1023157,1010040020,"Midtown-Midtown South                                                      ",3.5,1328,3,"newamerican",2.875,2.75,319.75,4,2.8,2.8,303,5,5.8,4.4,254.4,9,10.04,7.2,608.6,16,5.66,3.4,356.4,9,1.6,1.2,50,2
"Ruby's Diner","Diner","234 W 42nd St",NA,10036,40.756747,-73.988659,5,3,113,1024665,1010130012,"Midtown-Midtown South                                                      ",NA,NA,NA,NA,3,2.33333333333333,263,3,3.375,2.5,199.25,4,5.875,4,550.25,8,17.125,12,726.5,21,3.125,2.25,211.75,4,2.875,3,277.75,4
"Virtigo Cafe Llc","Deli","234 W 42nd St","2122219454",10036,40.756747,-73.988659,5,3,113,1024665,1010130012,"Midtown-Midtown South                                                      ",2,2,1,"restaurants",3,2.33333333333333,263,3,3.375,2.5,199.25,4,5.875,4,550.25,8,17.125,12,726.5,21,3.125,2.25,211.75,4,2.875,3,277.75,4
"Aoki","Japanese","234 W 48th St","2129562355",10036,40.760454,-73.985655,5,3,125,1024764,1010190055,"Midtown-Midtown South                                                      ",4,189,2,"vietnamese",3,2.2,193.2,5,3.01538461538462,2.30769230769231,190.153846153846,13,4.21538461538462,3.15384615384615,320.538461538462,18,2.73076923076923,1.84615384615385,94.0769230769231,10,0,0,0,0,0,0,0,0
