"CompanyName","Address","Phone","Latitude","Longitude","Rating","Review","Price","YelpCategory","ID","top5cat","top3restaurant"
"Flatotel International","135 W 52nd St, New York, NY 10019","2128879400",40.761736,-73.980883,3,77,3,"hotels","hotel_28","American:2|Italian:1|Catering:1|Vietnamese:|Turkish:","food_69|food_260|food_319"
"Econo Lodge","767 Eighth Ave, New York, NY 10036","2122461991",40.760315,-73.987554,3,28,2,"hotels","hotel_29","Steakhouse:2|Pizza:2|American:2|Italian:1|Indian:1","food_238|food_83|food_231"
"Hilton Garden Inn","790 Eighth Ave, New York, NY 10019","2125817000",40.761127,-73.98694,4,255,2,"hotels","hotel_30","American:3|Pizza:1|Mexican:1|Italian:1|Indian:1","food_242|food_268|food_280"
"Milford Plaza Hotel & Restaurant","700 Eighth Ave, New York, NY 10036","2126424641",40.758663,-73.988738,2.8,532,1,"hotels","hotel_31","Deli:4|American:4|Pizza:2|Italian:2|Dessert:2","food_323|food_273|food_235"
"InterContinental Hotel","300 W 44th St, New York, NY 10036","2127555900",40.758706,-73.989276,NA,NA,NA,NA,"hotel_32","Deli:3|American:2|Pizza:1|Japanese:1|Italian:1","food_323|food_84|food_85"
"Mayfair Hotel","242 W 49th St, New York, NY 10019","2125860300",40.761138,-73.985344,3.5,86,2,"hotels","hotel_33","Italian:4|American:3|Steakhouse:2|Japanese:2|Deli:2","food_35|food_302|food_147"
"The Michaelangelo Hotel","152 W 51st St, New York, NY 10019","2127651900",40.761439,-73.982168,4,97,3,"hotels","hotel_34","American:4|Steakhouse:2|Pizza:1|Italian:1|Dessert:1","food_69|food_225|food_319"
"Remington Hotel Co","129 W 46th St, New York, NY 10036","2122212600",40.757811,-73.98323,3.5,64,2,"hotels","hotel_35","American:7|Deli:4|Bar / Lounge:4|Cuban:2|Catering:2","food_160|food_196|food_210"
"Amsterdam Court Hotel","226 W 50th St, New York, NY 10019","2124591000",40.761668,-73.984651,2.5,120,2,"hotels","hotel_36","Deli:4|Italian:3|American:3|Catering:2|Bar / Lounge:2","food_35|food_141|food_147"
"Sheraton Manhattan at Times Square","790 Seventh Ave, New York, NY 10019","2125813300",40.762005,-73.982612,2,468,2,"hotels","hotel_37","American:7|Deli:4|Italian:2|Steakhouse:1|Consumables:1","food_17|food_18|food_319"
"Hampton Inn","851 Eighth Ave, New York, NY 10019","2125814100",40.763059,-73.985557,4,162,2,"hotels","hotel_38","Mexican:2|Deli:2|Chinese:2|Pizza:1|Italian:1","food_4|food_3|food_7"
"Sheraton New York Hotel and Towers","811 Seventh Ave, New York, NY 10019","2125811000",40.762674,-73.982095,2.5,637,3,"hotels","hotel_39","American:5|Italian:3|Deli:3|Pizza:1|Dessert:1","food_69|food_17|food_18"
"Hotel Edison","228 W 47th St, New York, NY 10036","2128405000",40.759727,-73.985886,3,333,2,"hotels","hotel_40","Italian:7|Bar / Lounge:4|American:4|Deli:2|Vietnamese:1","food_259|food_278|food_275"
"Marriott Marquis Hotel","1535 Broadway, New York, NY 10036","2123981900",40.758267,-73.985468,3.5,750,3,"hotels","hotel_41","American:5|Japanese:1|Italian:1|Deli:1|Coffee:1","food_177|food_105|food_288"
