"CompanyName","Subindustry","Address","Phone","Latitude","Longitude","Rating","Review","Price","YelpCategory","ID","Category2ndLevel"
"Rosie O'Grady's Saloon","American","800 Seventh Ave, New York, NY 10019","2125822975",40.762441,-73.982294,3,366,2,"tradamerican","food_16","North American"
"810 Deli, Inc","Deli","810 Seventh Ave, New York, NY 10019","2125414136",40.762639,-73.982146,3,143,2,"delis","food_17","Deli"
"Deli / Caf̩","Deli","810 Seventh Ave, New York, NY 10019","2125414136",40.762639,-73.982146,3,143,2,"delis","food_18","Deli"
"Ichi Masa Japanese Sushi","Japanese","825 Eighth Ave, New York, NY 10019","2123154800",40.762074,-73.986275,3,99,2,"japanese","food_19","Asian"
"Starbucks","Coffee","825 Eighth Ave, New York, NY 10019","2124622020",40.762074,-73.986275,3,42,2,"coffee","food_20","Coffee"
"Starbucks","Coffee","156 W 52nd St, New York, NY 10019","2125816410",40.762027,-73.981622,2.5,20,2,"coffee","food_21","Coffee"
"The Library @ Paramount Hotel","American","235 W 46th St, New York, NY 10036","2128274183",40.759132,-73.986348,3.5,3,3,"lounges","food_22","North American"
"46 Bar (Paramount Hotel)","Bar / Lounge","235 W 46th St, New York, NY 10036","2127645500",40.759132,-73.986348,2.2,272,2,"hotels","food_23","North American"
"Victor's Cafe","Deli","236 W 52nd St, New York, NY 10019","2125867714",40.762968,-73.983853,4,1173,3,"cuban","food_24","Deli"
"Auntie Anne's","Fast Food","664 Eighth Ave, New York, NY 10036","2127641542",40.757436,-73.989633,3,28,1,"pretzels","food_25","Deli"
"B.B. King Blues Club & Grill","American","237 W 42nd St, New York, NY 10036","2129974144",40.756785,-73.988702,3,619,2,"tradamerican","food_26","North American"
"Cold Stone Creamery/ Tim Horton's","Dessert","243 W 42nd St, New York, NY 10036","2123981882",40.756821,-73.988789,3,156,2,"icecream","food_27","Deli"
"Starbucks","Coffee","251 W 42nd St, New York, NY 10036","2123981982",40.756867,-73.988901,2.5,31,2,"coffee","food_29","Coffee"
"Pongsri Thai Restaurant","Thai","244 W 48th St, New York, NY 10036","2125823392",40.76052,-73.985817,3.5,430,2,"thai","food_30","Asian"
"Smokehouse","Italian","249 W 48th St, New York, NY 10036",NA,40.76057,-73.98589,NA,NA,NA,NA,"food_31","Europe"
"Lucky Star Cafe","American","250 W 43rd St, New York, NY 10036","2018389269",40.757309,-73.987901,3.5,51,1,"sandwiches","food_32","North American"
"Shula's Steakhouse","Steakhouse","250 W 43rd St, New York, NY 10036","2122012776",40.757309,-73.987901,3.5,142,3,"steak","food_33","Steakhouse"
"Scarlatto","Italian","250 W 47th St, New York, NY 10036","2127304535",40.759892,-73.986276,3.5,359,2,"italian","food_34","Europe"
"Toloache","Mexican","251 W 50th St, New York, NY 10019","2125811818",40.761851,-73.985041,4,1547,3,"mexican","food_35","South American"
"Bluechili","Pan Asian","251 W 51st St, New York, NY 10019","2122463330",40.762477,-73.984586,3,44,2,"thai","food_36","Asian"
"Pergola des Artistes","French","252 W 46th St, New York, NY 10036","2123027500",40.759261,-73.986695,4,1,2,"french","food_37","Europe"
"Trattoria Trecolori","Italian","254 W 47th St, New York, NY 10036","2129974540",40.759919,-73.986348,4,1704,2,"italian","food_38","Europe"
"Russian Samovar Restaurant","Russian","256 W 52nd St, New York, NY 10019","2127570168",40.763111,-73.984192,4,329,2,"russian","food_39","Europe"
"John's Pizzeria","Pizza","260 W 44th St, New York, NY 10036","2123917560",40.758124,-73.987897,3.5,1701,2,"pizza","food_40","Pizza"
"Just Pies Inc","Dessert","260 W 44th St, New York, NY 10036","2127217001",40.758124,-73.987897,NA,NA,NA,NA,"food_41","Deli"
"Sunrise Deli","Deli","1441 Broadway, New York, NY 10018","2122216490",40.754707,-73.986753,3,6,2,"delis","food_42","Deli"
"Restaurant Charlotte @ Millennium Broadway Hotel","American","145 W 44th St, New York, NY 10036","2127897508",40.756667,-73.984396,3,13,2,"newamerican","food_43","North American"
"O'Lunney's Times Square Pub","American","145 W 45th St, New York, NY 10036","2128406688",40.757336,-73.984017,4,308,2,"irish","food_44","North American"
"Vacant (Juan Valdez Coffee)","Coffee","1451 Broadway, New York, NY 10036","2128717515",40.755152,-73.986613,3.5,32,1,"coffee","food_45","Coffee"
"Abondanza","Deli","146 W 46th St, New York, NY 10036","2129381333",40.757948,-73.983598,3.5,17,1,"delis","food_46","Deli"
"Dervish Turkish Restaurant","Turkish","146 W 47th St, New York, NY 10036","2129970070",40.758579,-73.98315,3.5,129,2,"turkish","food_47","Mid East"
"Godiva Chocolatier, Inc.","Dessert","1460 Broadway, New York, NY 10036","2128406758",40.754998,-73.986284,4,24,2,"chocolate","food_48","Other"
"Ranch 1","Fast Food","141 W 41st St, New York, NY 10036",NA,40.754756,-73.985956,3,11,1,"hotdogs","food_49","Deli"
"Scotts Food Court","American","141 W 41st St, New York, NY 10036","2127681111",40.754756,-73.985956,2,6,1,"delis","food_50","North American"
"Tony's Di Napoli","Italian","147 W 43rd Str, New York, NY 10036","2122210100",40.756022,-73.984808,4,1616,2,"italian","food_51","Europe"
"Bombay Masala Indian Restaurant","Indian","148 W 49th St, New York, NY 10019","2123028150",40.759847,-73.982294,2.5,102,2,"indpak","food_52","Asian"
"Vacant (former Caf̩ Groppi)","Deli","148 W 49th St, New York, NY 10019","2122210082",40.759847,-73.982294,NA,NA,NA,NA,"food_53","Deli"
"Ruth's Chris Steak House","Steakhouse","148 W 51st St, New York, NY 10020","2122459600",40.761357,-73.981969,4,740,3,"steak","food_54","Steakhouse"
"Rosie O'Grady's Steakhouse","Steakhouse","149 W 46th St, New York, NY 10036","2128690600",40.757981,-73.983627,2.5,20,2,"pubs","food_55","Steakhouse"
"Le Marais","French","150 W 46th St, New York, NY 10036","2128690900",40.757984,-73.983677,3,228,3,"french","food_56","Europe"
"Langan's Bar & Restaurant","American","150 W 47th St, New York, NY 10036","2128695482",40.758612,-73.983233,3.5,191,2,"bars","food_57","North American"
"Y & H Grocery","Deli","150 W 47th St, New York, NY 10036","2128401659",40.758612,-73.983233,NA,NA,NA,NA,"food_58","Deli"
"Bella Napoli","Italian","150 W 49th St, New York, NY 10019","2127192819",40.759867,-73.982334,3,76,1,"pizza","food_59","Europe"
"Osteria Al Doge","Italian","142 W 44th St, New York, NY 10036","2129443643",40.756634,-73.984367,4,377,3,"italian","food_60","Europe"
"St. Andrews Restaurant and Bar","Bar / Lounge","142 W 46th St, New York, NY 10036","2128408413",40.757915,-73.983519,3.5,397,2,"pubs","food_61","North American"
"Pasta Lovers Trattoria","Italian","142 W 49th St, New York, NY 10019","2128191155",40.759798,-73.982172,3.5,218,2,"italian","food_62","Europe"
"John's Shanghai","Chinese","144 W 46th St, New York, NY 10036","2128699183",40.757932,-73.983558,NA,NA,NA,NA,"food_63","Asian"
"Starbucks","Coffee","1460 Broadway, New York, NY 10036","2122217515",40.754998,-73.986284,2.5,78,2,"coffee","food_64","Coffee"
"Virgils Real Barbecue","Barbecue","152 W 44th St, New York, NY 10036","2129219494",40.756716,-73.984558,3.5,1311,2,"bbq","food_65","Other"
"Iroha","Japanese","152 W 49th St, New York, NY 10019","2123989049",40.759883,-73.982374,3.5,323,2,"japanese","food_66","Asian"
"Sapporo","Japanese","152 W 49th St, New York, NY 10019","2128698972",40.759883,-73.982374,3.5,11,2,"ramen","food_67","Asian"
"Europa Cafe","Deli","152 W 51st St, New York, NY 10019","2125810152",40.761439,-73.982168,3,59,1,"sandwiches","food_68","Deli"
"Bar Americain","American","152 W 52nd St, New York, NY 10019","2122659700",40.762005,-73.981568,3.5,1328,3,"newamerican","food_69","North American"
"Ruby's Diner","Diner","234 W 42nd St, New York, NY 10036",NA,40.756747,-73.988659,NA,NA,NA,NA,"food_70","Deli"
"Virtigo Cafe Llc","Deli","234 W 42nd St, New York, NY 10036","2122219454",40.756747,-73.988659,2,2,1,"restaurants","food_71","Deli"
"Aoki","Japanese","234 W 48th St, New York, NY 10036","2129562355",40.760454,-73.985655,4,189,2,"vietnamese","food_72","Asian"
"Saigon 48","Vietnamese","234 W 48th St, New York, NY 10036","2122478669",40.760454,-73.985655,3,197,2,"vietnamese","food_73","Asian"
"Inakaya","Japanese","620 Eighth Ave, New York, NY 10018","2123542130",40.756039,-73.990651,3.5,465,3,"japanese","food_74","Asian"
"Schnipper's Quality Kitchen","American","620 Eighth Ave, New York, NY 10018","2129212400",40.756039,-73.990651,3.5,820,2,"burgers","food_75","North American"
"McDonald's","Fast Food","1651 Broadway, New York, NY 10019","2125865530",40.762164,-73.983575,2,46,1,"hotdogs","food_76","Deli"
"Starbucks","Coffee","1530 Broadway, New York, NY 10036","2123912079",40.757674,-73.985121,2.5,17,2,"coffee","food_77","Coffee"
"Sardi's Restaurant","American","234-236 W 44th St, New York, NY 10036","2122218440",40.757921,-73.987421,3.5,404,3,"tradamerican","food_78","North American"
"Dean & Deluca","Deli","560 Broadway, New York, NY 10012","2128696890",40.723909,-73.998048,4,580,3,"gourmet","food_79","Deli"
"Library Bar","American","235 W 46th St, New York, NY 10036","2128274183",40.759132,-73.986348,3.5,3,3,"lounges","food_80","North American"
"La Rivista Ristorante","Italian","313 W 46th St, New York, NY 10036","2122451707",40.760082,-73.98859,3,69,3,"italian","food_81","Europe"
"Broadway Joe Steakhouse","Steakhouse","315 W 46th St, New York, NY 10036","2122466513",40.760098,-73.988629,2.5,49,3,"steak","food_82","Steakhouse"
"Bistecca Fiorentina","Steakhouse","317 W 46th St, New York, NY 10036","2122583232",40.760114,-73.988669,4,105,3,"italian","food_83","Steakhouse"
"Gourmet New York","Deli","680 Eighth Ave, New York, NY 10036",NA,40.757998,-73.989218,2.5,47,2,"grocery","food_84","Deli"
"Port Gourmet Deli","Deli","681 Eighth Ave, New York, NY 10036","2122453168",40.758007,-73.98924,2.5,47,2,"grocery","food_85","Deli"
"McDonald's","Fast Food","220 W 42nd St, New York, NY 10036","2122217664",40.756412,-73.987858,2.5,86,1,"hotdogs","food_86","Deli"
"McDonald's","Fast Food","688 Eighth Ave, New York, NY 10036","2122213941",40.758218,-73.989059,1.5,32,1,"hotdogs","food_87","Deli"
"Robert Emmett's Bar & Restaurant","American","694 Eighth Ave, New York, NY 10036","2123029999",40.758383,-73.98894,2.5,46,2,"newamerican","food_88","North American"
"1657 Broadway Deli, Ltd.","Deli","1651-1665 Broadway, New York, NY 10019","2129560099",40.762164,-73.983575,NA,NA,NA,NA,"food_89","Deli"
"Hard Rock Cafe","American","1501 Broadway, New York, NY 10036","2123433355",40.757103,-73.986193,3,670,2,"tradamerican","food_90","North American"
"Planet Hollywood","American","1540 Broadway, New York, NY 10036","2123337827",40.757847,-73.985009,3,303,2,"tradamerican","food_91","North American"
"B. Smith's Restaurant Row","American","320 W 46th St, New York, NY 10036","2123151100",40.760136,-73.988759,3,198,3,"tradamerican","food_92","North American"
"Orso","Italian","322 W 46th St, New York, NY 10036","2124897212",40.760153,-73.988803,4,151,3,"italian","food_93","Europe"
"Joe Allen","American","326 W 46th St, New York, NY 10036","2125816464",40.760186,-73.988882,4,314,2,"tradamerican","food_94","North American"
"O'Flaherty's Ale House & Restaurant","American","334 W 46th St, New York, NY 10036","2125819366",40.760254,-73.989045,3,66,2,"irish","food_95","North American"
"Sangria 46","Spanish","338 W 46th St, New York, NY 10036","2125818482",40.76029,-73.989124,3.5,334,2,"spanish","food_96","Europe"
"Le Rivage","French","340 W 46th St, New York, NY 10036","2127657374",40.760307,-73.989167,3.5,310,3,"french","food_97","Europe"
"Da Rosina Ristorante Italiano","Italian","342 W 46th St, New York, NY 10036","2129777373",40.760323,-73.989207,3,133,2,"italian","food_98","Europe"
"EZ Deil and NY Nail Land","Deli","1625 Broadway, New York, NY 10019","2123335650",40.761223,-73.984207,4.5,3,1,NA,"food_99","Deli"
"Dunkin' Donuts","Coffee","210 W 50th St, New York, NY 10019","2127574617",40.76156,-73.984395,2.5,17,1,"donuts","food_100","Coffee"
"Famous Famiglia Pizzeria","Pizza","1630 Broadway, New York, NY 10019","2123334646",40.761327,-73.984106,3,74,1,"pizza","food_101","Pizza"
"Italia Mia Pizza","Pizza","1674 Broadway, New York, NY 10019","2122651414",40.762861,-73.983109,3.5,10,1,"pizza","food_102","Pizza"
"Club House Caf̩","Spanish","155 W 46th St, New York, NY 10036","2123543838",40.758031,-73.983746,3.5,35,2,"sportsbars","food_103","Europe"
"Restaurant","American","155 W 46th St, New York, NY 10036","2128690900",40.758031,-73.983746,3,228,3,"french","food_104","North American"
"TGI Friday's","American","1552 Broadway, New York, NY 10036","2129447352",40.758665,-73.984977,1.5,125,2,"tradamerican","food_105","North American"
"Meson Sevilla Ristorante","Spanish","344 W 46th St, New York, NY 10036","2122625890",40.760342,-73.989247,3.5,194,2,"spanish","food_106","Europe"
"Danny's Grand Sea Palace","Seafood","346 W 46th St, New York, NY 10036","2122658130",40.760359,-73.989286,4,2,2,"thai","food_107","Other"
"Sushi of Gari","Japanese","347 W 46th St, New York, NY 10036","2129570046",40.760373,-73.989276,4,591,4,"sushi","food_108","Asian"
"Swing 46 Jazz and Supper Club","American","349 W 46th St, New York, NY 10036","2122629554",40.760392,-73.989315,3.5,226,3,"newamerican","food_109","North American"
"Bourbon Street Bar & Grille","Cajun","346 W 46th St, New York, NY 10036","2122452030",40.760359,-73.989286,3.5,745,2,"cajun","food_110","North American"
"Ocha Sushi","Japanese","350 W 46th St, New York, NY 10036","2125813198",40.760395,-73.989369,3.5,110,2,"sushi","food_111","Asian"
"Becco","Italian","355 W 46th St, New York, NY 10036","2123977597",40.760441,-73.989438,3.5,2368,3,"italian","food_112","Europe"
"Capri Ristorante - CLOSED","Italian","358 W 46th St, New York, NY 10036","2125825850",40.760463,-73.989528,NA,NA,NA,NA,"food_113","Europe"
"Paramount Cafe","Deli","1501 Broadway, Suite# 2009, New York, NY 10036","2123916675",40.757103,-73.986193,3.5,4,4,"delis","food_114","Deli"
"Viva Pancho","Mexican","156 W 44th St, New York, NY 10036","2129449747",40.756746,-73.984634,3,32,2,"mexican","food_115","South American"
"Lattanzi Restaurant","Italian","359 W 46th St, New York, NY 10036","2123150980",40.760477,-73.989521,3.5,196,3,"italian","food_116","Europe"
"Aramark Services, Inc.","Catering","230 W 41st St, New York, NY 10036",NA,40.755802,-73.988482,NA,NA,NA,NA,"food_117","Other"
"City Chow","Deli","1633 Broadway, New York, NY 10019","2124450600",40.761574,-73.983962,2,9,1,"newamerican","food_118","Deli"
"Cosi","Deli","1633 Broadway, New York, NY 10019","2123972674",40.761574,-73.983962,NA,NA,NA,NA,"food_119","Deli"
"Mars 2112","American","1633 Broadway, Suite# B, New York, NY 10019","2125822112",40.761574,-73.983962,2.5,3,1,"amusementparks","food_120","North American"
"Bangkok House","Thai","360 W 46th St, New York, NY 10036","2125415943",40.76048,-73.989571,3.5,189,2,"thai","food_121","Asian"
"The House of Brews","American","363 W 46th St, New York, NY 10036","2122450551",40.76051,-73.9896,4,191,2,"sportsbars","food_122","North American"
"Tramonti","Italian","364 W 46th St, New York, NY 10036","2129747464",40.760513,-73.989651,3.5,2368,3,"italian","food_123","Europe"
"Firebird Restaurant","Russian","365 W. 46th Street, New York, NY 10036","2125860244",40.760529,-73.98964,3,180,4,"russian","food_124","Europe"
"Joshua Tree - CLOSED","American","368 W 46th St, New York, NY 10036","2124891920",40.760548,-73.989734,2.5,36,2,"tradamerican","food_125","North American"
"McDonald's","Fast Food","1560 Broadway, Suite# 1651, New York, NY 10036","2129218900",40.75886,-73.984843,2.5,59,1,"burgers","food_126","Deli"
"Ritz Bar & Lounge","Bar / Lounge","369 W 46th St, New York, NY 10036","2129773884",40.760562,-73.989723,NA,NA,NA,NA,"food_127","North American"
"Deacon Brodie's Tavern","Bar / Lounge","370 W 46th St, New York, NY 10036","2122621452",40.760565,-73.989774,4,66,2,"pubs","food_128","North American"
"Pomaire","Chilean","371 W 46th St, New York, NY 10036","2129563055",40.760578,-73.989763,4,42,2,"bakeries","food_129","South American"
"Red Lobster","Seafood","5 Times Sq, New York, NY 10036","2127306706",40.755709,-73.987208,3,501,2,"seafood","food_130","Other"
"Pig 'N' Whistle","American","165 W 47th St
store front, New York, NY 10036","2123020112",40.758744,-73.983504,3,111,2,"irish","food_131","North American"
"Roxy Deli","Deli","1565 Broadway, New York, NY 10036","2129213333",40.759192,-73.985186,2.5,232,2,"delis","food_132","Deli"
"Blue Fin","Seafood","W Times Square
1567 Broadway, New York, NY 10036","2129181400",40.756582,-73.989637,3.5,842,3,"sushi","food_133","Other"
"The Whiskey","Bar / Lounge","1567 Broadway, New York, NY 10036","2129307444",40.759247,-73.985168,2.5,15,3,"lounges","food_134","North American"
"Aspen Social Club","American","157 W 47th St, New York, NY 10036","2122217200",40.758678,-73.983342,3,225,3,"lounges","food_135","North American"
"Times Deli Caf̩","Deli","158 W 44th St, New York, NY 10036","2129441234",40.756763,-73.98467,2.5,31,2,"delis","food_136","Deli"
"Starbucks","Coffee","1585 Broadway, New York, NY 10036","2125417515",40.760216,-73.985334,3.5,108,2,"coffee","food_137","Coffee"
"vacant (former starbucks)","Coffee","1600 Broadway, New York, NY 10019","2122451936",40.76035,-73.984713,NA,NA,NA,NA,"food_138","Coffee"
"Spotlight Times Square","American","1604-1610 Broadway, New York, NY 10019","2129776773",40.760487,-73.984648,3,186,2,"hotels","food_139","North American"
"San Leone","Italian","1674 Broadway, New York, NY 10019","2122651414",40.762861,-73.983109,3.5,10,1,"pizza","food_140","Europe"
"Ellen's Stardust Diner","American","1650 Broadway, New York, NY 10019","2129565151",40.761964,-73.983684,3.5,1320,2,"diners","food_141","North American"
"New York Bagel Company","Deli","1674 Broadway, New York, NY 10019","2123977720",40.762861,-73.983109,NA,NA,NA,NA,"food_142","Deli"
"Crumbs","Dessert","1675 Broadway, New York, NY 10019","2127949800",40.762963,-73.983073,3.5,109,2,"bakeries","food_143","Deli"
"Olive Garden Italian Restaurant","Italian","2 Times Sq, New York, NY 10036","2123333254",40.75931,-73.984857,3,522,2,"italian","food_144","Europe"
"Playwright Bar And Restaurant","American","202 W 49th St, New York, NY 10019","2122629263",40.760559,-73.983991,3.5,264,2,"tradamerican","food_145","North American"
"Dean & Deluca","Deli","620 Eighth Ave, New York, NY 10018","2122210308",40.756039,-73.990651,3,223,2,"cafes","food_146","Deli"
"Subway","Fast Food","214 W 50th St, New York, NY 10019","2122651822",40.761585,-73.984456,3,9,1,"sandwiches","food_147","Deli"
"Europa Caf̩","Deli","218 W 42nd St, New York, NY 10036","2126641820x14",40.756382,-73.987789,NA,NA,NA,NA,"food_148","Deli"
"Uncle A's Mini Mart","Deli","220 W 41st St, New York, NY 10036","2129217185",40.755717,-73.98828,NA,NA,NA,NA,"food_149","Deli"
"The Alicart Restaurant Group","Catering","1501 Broadway, New York, NY 10036","2126759790",40.757103,-73.986193,3.5,1311,2,"bbq","food_150","Other"
"Da Marino","Italian","220 W 49th St, New York, NY 10019","2125416601",40.760987,-73.984987,4,292,3,"italian","food_151","Europe"
"Danny's Deli","Italian","224 W 47th St, New York, NY 10036","2129211200",40.759697,-73.985818,2.5,31,1,"delis","food_152","Europe"
"Lp Food & Beverage Inc/Oceo","Catering","224 W 49th St, New York, NY 10019","2122626236",40.761014,-73.985052,2,1,1,NA,"food_153","Other"
"Oceo","Afghan","224 West 49th Street, New York, NY 10019","2122626236",40.761014,-73.985052,2,1,1,NA,"food_154","Mid East"
"Serafina @ Time Hotel","Italian","224 W 49th St, New York, NY 10019","212",40.761014,-73.985052,3,167,3,"italian","food_155","Europe"
"Gallagher's Steak House","Steakhouse","228 W. 52nd Street, New York, NY 10019","2122455336",40.762911,-73.98372,4,723,3,"steak","food_156","Steakhouse"
"Carmine's","Italian","200 W 44th St, New York, NY 10036","2122213800",40.757405,-73.98619,4,2797,2,"italian","food_157","Europe"
"Carvel","Dessert","1501 Broadway, New York, NY 10036","2123916675",40.757103,-73.986193,3.5,4,4,"delis","food_158","Deli"
"Coldstone Creamery","Dessert","1501 Broadway, Suite 1604, New York, NY 10036","2123981882",40.757103,-73.986193,NA,NA,NA,NA,"food_159","Deli"
"Havana Central","Cuban","151 West 46th Street, New York, NY 10036","2123987440",40.757998,-73.983667,3.5,1538,2,"cuban","food_160","South American"
"Domino's Pizza","Pizza","230 W 41st St, New York, NY 10036","2129440400",40.755802,-73.988482,2.5,54,1,"pizza","food_161","Pizza"
"Hurley's Steak and Seafood","Steakhouse","232 W 48th St, New York, NY 10036","2127658981",40.760441,-73.985622,3.5,167,2,"pubs","food_162","Steakhouse"
"Pinnacle Bar","American","234 W 42nd St
25th Floor, New York, NY 10036","2126422607",40.756747,-73.988659,2.5,6,2,"lounges","food_163","North American"
"Applebee's Neighborhood Grill and Bar","American","234 W 42nd St, New York, NY 10036","9147772331Ext.116",40.756747,-73.988659,2,387,2,"tradamerican","food_164","North American"
"Chock full o' Nuts Cafe","Deli","234 W 42nd St, New York, NY 10036","2127645969",40.756747,-73.988659,NA,NA,NA,NA,"food_165","Deli"
"Juniors Restaurant","American","1515 Broadway, New York, NY 10036","2123022000",40.757636,-73.985804,4,3343,2,"tradamerican","food_166","North American"
"Dippin' Dots","Dessert","234 W 42nd St, New York, NY 10036",NA,40.756747,-73.988659,NA,NA,NA,NA,"food_167","Deli"
"Manchu WOK","Chinese","234 W 42nd St, New York, NY 10036",NA,40.756747,-73.988659,NA,NA,NA,NA,"food_168","Asian"
"Ranch 1","Fast Food","234 W 42nd St, New York, NY 10036",NA,40.756747,-73.988659,NA,NA,NA,NA,"food_169","Deli"
"EASY INTERNET CAFE TIME SQUARE LLC","Deli","258 W 42nd St, New York, NY 10036",NA,40.756895,-73.989009,NA,NA,NA,NA,"food_170","Deli"
"Howard Johnson's Cafe'","Deli","1551-1553 Broadway, New York, NY 10036",NA,40.758805,-73.985312,NA,NA,NA,NA,"food_171","Deli"
"Bar 10","Bar / Lounge","270 W 43rd St, New York, NY 10036","2122012764",40.757482,-73.988309,2.5,20,3,"bars","food_172","North American"
"Dale & Thomas Popcorn","Other","1592 Broadway, New York, NY 10036","2125811872",40.759963,-73.984883,4.5,17,2,"gourmet","food_173","Other"
"Encore Restaurant @ Marriott Marquis","American","1535 Broadway
5th Floor, New York, NY 10036","2127048849",40.758267,-73.985468,3.5,750,3,"hotels","food_174","North American"
"Crown Deli","Italian","1678 Broadway, New York, NY 10019","2122651414",40.762977,-73.983041,3.5,10,1,"pizza","food_175","Europe"
"The Two Times Square Restaurant","American","714 Seventh Ave, New York, NY 10036","2122615200",40.759581,-73.984366,4,254,2,"lounges","food_176","North American"
"The View Restaurant & Lounge @ Marriott Marquis","American","1535 Broadway
48th Floor, New York, NY 10036","2127048849",40.758267,-73.985468,3,829,4,"lounges","food_177","North American"
"Applebee's","American","205 W 50th St, New York, NY 10019","2122624022",40.761382,-73.983926,2,192,2,"tradamerican","food_178","North American"
"Social Bar NYC & Latitude Bar Grill","American","795 Eighth Avenue, New York, NY 10019","2124590643",40.761212,-73.9869,3.5,274,2,"newamerican","food_179","North American"
"The Long Room","Bar / Lounge","120 West 44th St., New York, NY 10036","2129973933",40.756461,-73.983952,3.5,260,2,"irish","food_180","North American"
"Scott Alling-Convivial Catering","Catering","130 W 42nd St, New York, NY 10036",NA,40.755278,-73.985172,NA,NA,NA,NA,"food_181","Other"
"Gingers Restaurant","American","1568 Broadway, New York, NY 10036","2124036371",40.759055,-73.98471,3,16,2,"newamerican","food_182","North American"
"Scott Alliang-Demonstration Room","Catering","130 W 42nd St, New York, NY 10036",NA,40.755278,-73.985172,NA,NA,NA,NA,"food_183","Other"
"Blockheads","Mexican","825 Eighth Ave, New York, NY 10019",NA,40.762074,-73.986275,4,1547,3,"mexican","food_184","South American"
"David's Potbelly Stove Cafe","Deli","1501 Broadway, New York, NY 10036","2126269000",40.757103,-73.986193,NA,NA,NA,NA,"food_185","Deli"
"Time Square Deli","Deli","1501 Broadway, New York, NY 10036","2128407983",40.757103,-73.986193,4.5,3,1,"pizza","food_186","Deli"
"Baja Fresh Mexican Grill","Mexican","1441 Broadway, New York, NY 10018","2127649084",40.754707,-73.986753,3.5,72,2,"mexican","food_187","South American"
"Bobby Van's Steakhouse","American","120 West 45th Street, New York, NY 10036",NA,40.757117,-73.983544,3,170,3,"steak","food_188","North American"
"F & H Liquor Center Inc","Consumables","810 7th Ave, New York, NY 10019","2122474991",40.762639,-73.982146,NA,NA,NA,NA,"food_189","Other"
"Martini's Restaurant","Italian","810 7th Ave, New York, NY 10019","2127671146",40.762639,-73.982146,4,723,3,"steak","food_190","Europe"
"Montenapo Restaurant","Italian","250 West 41st Street, New York, NY 10036","2127647663",40.755973,-73.988886,4,20,3,"italian","food_191","Europe"
"Starbucks","Coffee","1656 Broadway, New York, NY 10019","2127048937",40.762257,-73.983492,2.5,32,1,"coffee","food_192","Coffee"
"Aureole","American","1 Bryant Park, New York, NY 10036","2123191660",40.755182,-73.98388,4,768,4,"newamerican","food_193","North American"
"Dunhill Cafe","American","109 W 45th St, New York, NY 10036","2129448484",40.757026,-73.983291,3.5,43,1,"tradamerican","food_194","North American"
"Bubba Gump Shrimp Co.","Seafood","209 Avenida Fabricante
Suite 200, New York, NY NA","2123917100",NA,NA,3.5,798,2,"seafood","food_195","Other"
"Cranberry Gourmet","Deli","115 W 45th St, New York, NY 10036","2127309495",40.757078,-73.983411,3.5,153,1,"delis","food_196","Deli"
"Haggis Inc","Scottish","120 W 44th St, New York, NY 10036","2128408413",40.756461,-73.983952,3.5,397,2,"pubs","food_197","Europe"
