"CompanyName","ID"
"Europa Caf̩","food_148"
"Uncle A's Mini Mart","food_149"
"The Alicart Restaurant Group","food_150"
"Da Marino","food_151"
"Danny's Deli","food_152"
"Lp Food & Beverage Inc/Oceo","food_153"
"Oceo","food_154"
"Serafina @ Time Hotel","food_155"
"Gallagher's Steak House","food_156"
"Carmine's","food_157"
"Carvel","food_158"
"Coldstone Creamery","food_159"
"Havana Central","food_160"
"Domino's Pizza","food_161"
"Hurley's Steak and Seafood","food_162"
"Pinnacle Bar","food_163"
"Applebee's Neighborhood Grill and Bar","food_164"
"Chock full o' Nuts Cafe","food_165"
"Juniors Restaurant","food_166"
"Dippin' Dots","food_167"
"Manchu WOK","food_168"
"Ranch 1","food_169"
"EASY INTERNET CAFE TIME SQUARE LLC","food_170"
"Howard Johnson's Cafe'","food_171"
"Bar 10","food_172"
"Dale & Thomas Popcorn","food_173"
"Encore Restaurant @ Marriott Marquis","food_174"
"Crown Deli","food_175"
"The Two Times Square Restaurant","food_176"
"The View Restaurant & Lounge @ Marriott Marquis","food_177"
"Applebee's","food_178"
"Social Bar NYC & Latitude Bar Grill","food_179"
"The Long Room","food_180"
"Scott Alling-Convivial Catering","food_181"
"Gingers Restaurant","food_182"
"Scott Alliang-Demonstration Room","food_183"
"Blockheads","food_184"
"David's Potbelly Stove Cafe","food_185"
"Time Square Deli","food_186"
"Baja Fresh Mexican Grill","food_187"
"Bobby Van's Steakhouse","food_188"
"F & H Liquor Center Inc","food_189"
"Martini's Restaurant","food_190"
"Montenapo Restaurant","food_191"
"Starbucks","food_192"
"Aureole","food_193"
"Dunhill Cafe","food_194"
"Bubba Gump Shrimp Co.","food_195"
"Cranberry Gourmet","food_196"
"Haggis Inc","food_197"
"Saju French Bistro @ Hotel Mela","food_198"
"N Valenti Restaurant Associates","food_199"
"Patina Restaurant Group","food_200"
"Connolly's Pub And Restaurant","food_201"
"Cafe Un Deux Trois","food_202"
"The Perfect Pint","food_203"
"Duvel Bar Rest","food_204"
"Trattoria Dopo Teatro","food_205"
"H&B Heartland Burgers","food_206"
"Heartland Brewery","food_207"
"Cafe O","food_208"
"NIOS Restaurant @ Muse Hotel","food_209"
"O'Brien's Bar and Grill","food_210"
"Pronto Pizza-Lemlen Pizza","food_211"
"Bobby Vans","food_212"
"Bocca To Go Cucian Italiana","food_213"
"Pret a Manger","food_214"
"Dave & Buster's","food_215"
"Qdoba Mexican Grill","food_216"
"Moda @ Flatotel","food_217"
"Margon Restaurant Co.","food_218"
"Subway","food_219"
"Minar Indian Restaurant","food_220"
"Jimmy's Corner","food_221"
"Metro Deli/ Ranch #1","food_222"
"Starbucks","food_223"
"KFC, Tim Horton, Pizza Hut","food_224"
"Tad's Steakhouse","food_225"
"Haagen-Dazs","food_226"
"Pizza Hut","food_227"
"T.G.I. Friday's","food_228"
"Sbarro","food_229"
"Tad's Steak House","food_230"
"Papa John's/Subway","food_231"
"Europa Cafe","food_232"
"LyBane Wine Bar","food_233"
"Charley O's","food_234"
"Chicken Bar","food_235"
"Starbucks","food_236"
"Pigalle","food_237"
"A Slice of New York Pizza","food_238"
"Tonic Sports Bar & Restaurant","food_239"
"Daniela's Trattoria","food_240"
"Spice Fusion","food_241"
"Latitude","food_242"
"Brazil Grill","food_243"
"Hawaiian Tropic Zone","food_244"
"Houlihan's Restaurant & Bar","food_245"
"Ruby Tuesday","food_246"
"Playwright Celtic Pub","food_247"
"Smith's Bar & Restaurant","food_248"
"Pax Foods","food_249"
"Godiva Chocolatier, Inc.","food_250"
"Hale & Hearty","food_251"
"Majestic Delication Caf̩","food_252"
"Ruby Foo's","food_253"
"Starbucks","food_254"
"Kodama Sushi","food_255"
"Mean Fiddler, The","food_256"
"Midtown Gourmet Deli","food_257"
"Nan King Chinese Cuisine","food_258"
"Patzeria Pizza","food_259"
"Piano Due","food_260"
"Sombrero","food_261"
"Thalia Kitchen","food_262"
"Tom and Toon","food_263"
"Grand Sichuan","food_264"
"Chopp't","food_265"
"Glass House Tavern","food_266"
"Off Broadway Deli/ Pizza","food_267"
"Z Deli-Pizzeria","food_268"
"Zheng's Lucky Sunday Garden","food_269"
"Charley O's","food_270"
"Amadeus Pizza","food_271"
"Andy's Deli & Natural Foods","food_272"
"Angus McIndoe Restaurant","food_273"
"Brazil Brazil","food_274"
"Sofia's","food_275"
"VACANT (frmerly Starbucks)","food_276"
"Cafe Nicole @ Novotel","food_277"
"Cafe Edison","food_278"
"Ciro Trattoria","food_279"
"Olympic Restaurant","food_280"
"Emmett O'Lunney's","food_281"
"Maxie's Delicatessen","food_282"
"Cyber Cafe","food_283"
"Palm Restaurant","food_284"
"Jade Terrace","food_285"
"vacant (Red Mango)","food_286"
"Russian Vodka Room","food_287"
"Katen Sushi Bar","food_288"
"Rum House","food_289"
"Hudson's Sports Bar & Grill","food_290"
"Russo's Steak and Pasta","food_291"
"Starlite Deli","food_292"
"Villa Pizza","food_293"
"Harmony View","food_294"
"Pearls","food_295"
"Frankie & Johnnie's Steakhouse","food_296"
"Times Square Hot Bagels","food_297"
"Brasserie 1605","food_298"
"La Masseria","food_299"
"Teriyaki Boy (month to month)","food_300"
"Hourglass Tavern","food_301"
"Mama Sbarro's","food_302"
"Yoshinoya Beef Bowl Restaurant","food_303"
"Natsumi Restaurant, Bar & Lounge","food_304"
"Brooklyn Diner","food_305"
"Chevys Fresh Mex","food_306"
"Tasti D-Lite","food_307"
"Carve: Unique Sandwiches","food_308"
"Starbucks (@ Marriott)","food_309"
"Ray's Famous Pizza","food_310"
"Jamba Juice","food_311"
"vacant (8th Avenue Pavilion Flea Market)","food_312"
"Bond 45","food_313"
"Pax World","food_314"
"705 8th Avenue (8th Avenue Food Court)","food_315"
"Avenue Restaurant @ Sheraton Hilton Hotel","food_316"
"Azalea","food_317"
"Bella Vita","food_318"
"Bistro Caterers","food_319"
"CAF�� @ Times Square","food_320"
"Chipotle Mexican grill","food_321"
"Famous Dave's B-B-Q","food_322"
"Famous Famiglia Pizza","food_323"
"Fu Ying","food_324"
"Green Symphony","food_325"
"Haru","food_326"
"Insieme @ The Michaelangelo","food_327"
"Starbucks","food_328"
"Metromet, Inc.","food_329"
"Barbetta Restaurant","food_330"
"Le Bernardin","food_331"
